50,100,150,200,250,300,350,400,BS
nan,nan,nan,nan,nan,nan,nan,nan,970.0
nan,nan,nan,nan,nan,nan,nan,nan,960.0
953.352603668,953.37264327,953.429317287,953.430520318,953.435282036,953.427253247,953.434545819,953.43010821,950.003257936
966.331007705,966.399212002,966.440777137,966.483449222,966.44872271,966.442000131,966.455580037,966.466788737,941.164387352
nan,nan,nan,nan,nan,nan,nan,nan,930.0
946.570038334,946.619499904,946.607178922,946.67574443,946.650655393,946.644116494,946.652404997,946.655206487,921.189295072
913.732697181,913.729458661,913.764052824,913.772800246,913.766075029,913.76979457,913.777876604,913.777435985,910.00434041
nan,nan,nan,nan,nan,nan,nan,nan,900.0
nan,nan,nan,nan,nan,nan,nan,nan,890.0
897.287997435,897.283128365,897.112645297,897.257493226,897.260789953,897.254835503,897.247610708,897.225727618,871.27294605
877.581590022,877.553612949,877.315554438,877.493008807,877.508474152,877.50278379,877.488927763,877.456492936,851.311849879
nan,nan,nan,nan,nan,nan,nan,nan,830.0
nan,nan,nan,nan,nan,nan,nan,nan,810.0
818.70288162,818.594046517,818.366956708,818.410323562,818.468798342,818.464062783,818.426818532,818.449832778,791.474652666
nan,nan,nan,nan,nan,nan,nan,nan,770.0
nan,nan,nan,nan,nan,nan,nan,nan,750.0
nan,nan,nan,nan,nan,nan,nan,nan,740.0
759.390267483,759.211524776,759.206868287,759.0803262,759.06465032,759.11444339,759.175538935,759.212787354,731.626644518
nan,nan,nan,nan,nan,nan,nan,nan,720.0
nan,nan,nan,nan,nan,nan,nan,nan,705.0
