contract_name,last_trade_date,strike_price,last_price,bid_price,ask_price,implied_volatility
AMZN180615C00420000,2018-01-11 1:18PM EST,420.00,851.35,887.20,891.30,0.00%
AMZN180615C00430000,2018-01-11 1:18PM EST,430.00,841.45,877.25,881.40,0.00%
AMZN180615C00440000,2018-02-05 10:10AM EST,440.00,1003.90,953.30,958.30,103.85%
AMZN180615C00450000,2018-02-02 9:54AM EST,450.00,1007.60,983.85,988.85,166.46%
AMZN180615C00460000,2018-01-10 10:35AM EST,460.00,787.85,847.55,851.70,0.00%
AMZN180615C00470000,2018-02-02 9:42AM EST,470.00,1010.85,964.00,969.00,160.79%
AMZN180615C00480000,2018-02-05 10:12AM EST,480.00,965.90,913.75,918.75,97.80%
AMZN180615C00490000,2017-12-01 11:45PM EST,490.00,686.45,676.00,681.00,0.00%
AMZN180615C00500000,2018-01-17 12:07PM EST,500.00,798.85,797.50,802.00,0.00%
AMZN180615C00520000,2018-02-02 1:04PM EST,520.00,944.45,914.50,919.50,147.89%
AMZN180615C00540000,2018-02-02 9:46AM EST,540.00,932.25,894.70,899.70,143.12%
AMZN180615C00560000,2017-12-04 4:26PM EST,560.00,585.10,579.55,584.40,0.00%
AMZN180615C00580000,2017-12-04 9:34AM EST,580.00,592.45,560.00,563.90,0.00%
AMZN180615C00600000,2018-02-02 3:58PM EST,600.00,838.05,835.65,840.65,130.22%
AMZN180615C00620000,2018-01-18 3:37PM EST,620.00,679.37,678.50,683.30,0.00%
AMZN180615C00640000,2017-12-04 10:57AM EST,640.00,499.95,501.70,506.60,0.00%
AMZN180615C00650000,2017-10-27 10:39AM EST,650.00,449.25,458.65,463.35,0.00%
AMZN180615C00660000,2018-02-02 1:04PM EST,660.00,805.90,776.00,781.00,118.13%
AMZN180615C00670000,2018-01-08 9:32AM EST,670.00,573.00,639.95,644.05,0.00%
AMZN180615C00685000,2017-12-04 4:26PM EST,685.00,458.45,457.90,462.05,0.00%
AMZN180615C00690000,2017-12-26 10:03AM EST,690.00,481.90,485.50,490.00,0.00%
AMZN180615C00700000,2018-01-23 3:26PM EST,700.00,667.95,706.00,711.00,83.40%
AMZN180615C00710000,2017-12-12 2:40PM EST,710.00,467.68,476.00,480.25,0.00%
AMZN180615C00720000,2018-01-02 10:32AM EST,720.00,472.26,514.90,518.30,0.00%
AMZN180615C00730000,2018-01-26 10:57AM EST,730.00,674.71,676.50,681.50,79.63%
AMZN180615C00740000,2018-02-02 3:10PM EST,740.00,693.30,697.45,702.45,104.41%
AMZN180615C00750000,2018-01-03 2:53PM EST,750.00,462.90,485.65,488.85,0.00%
AMZN180615C00760000,2017-08-31 11:56AM EST,760.00,441.98,417.00,422.00,0.00%
AMZN180615C00770000,2017-10-30 12:19PM EST,770.00,354.78,352.65,357.00,0.00%
AMZN180615C00780000,2017-09-28 2:58PM EST,780.00,207.15,225.30,229.50,0.00%
AMZN180615C00790000,2018-01-31 2:09PM EST,790.00,690.55,648.25,653.25,96.47%
AMZN180615C00800000,2018-02-01 12:04PM EST,800.00,640.00,637.75,642.75,94.50%
AMZN180615C00810000,2018-02-05 1:30PM EST,810.00,633.62,588.90,593.90,60.71%
AMZN180615C00820000,2018-01-10 10:49AM EST,820.00,433.95,492.25,496.20,0.00%
AMZN180615C00830000,2018-01-17 3:31PM EST,830.00,477.25,472.50,477.00,0.00%
AMZN180615C00840000,2018-01-02 10:32AM EST,840.00,356.27,398.00,401.35,0.00%
AMZN180615C00850000,2018-01-29 1:03PM EST,850.00,590.00,589.30,594.30,87.57%
AMZN180615C00855000,2018-01-23 1:51PM EST,855.00,509.83,554.00,559.00,65.41%
AMZN180615C00860000,2018-02-01 3:42PM EST,860.00,547.50,578.75,583.75,85.70%
AMZN180615C00870000,2018-01-16 12:25PM EST,870.00,462.27,433.50,438.30,0.00%
AMZN180615C00880000,2018-01-22 12:59PM EST,880.00,447.69,530.00,534.50,62.93%
AMZN180615C00900000,2018-02-05 3:54PM EST,900.00,502.00,502.10,507.10,53.93%
AMZN180615C00920000,2018-02-05 9:30AM EST,920.00,490.25,483.10,488.10,52.64%
AMZN180615C00940000,2018-02-02 12:17PM EST,940.00,537.00,500.95,505.95,75.20%
AMZN180615C00960000,2018-02-05 3:06PM EST,960.00,463.95,445.50,450.50,50.25%
AMZN180615C00980000,2018-02-02 9:30AM EST,980.00,501.17,462.60,467.60,70.45%
AMZN180615C01000000,2018-02-05 3:52PM EST,1000.00,409.20,408.55,413.55,49.82%
AMZN180615C01020000,2018-02-02 3:49PM EST,1020.00,432.00,424.60,429.60,65.96%
AMZN180615C01040000,2018-02-02 3:57PM EST,1040.00,407.50,372.50,377.50,47.79%
AMZN180615C01060000,2018-02-05 10:42AM EST,1060.00,408.60,354.85,359.85,46.87%
AMZN180615C01080000,2018-02-02 11:14AM EST,1080.00,410.95,368.85,373.85,59.87%
AMZN180615C01100000,2018-02-05 3:38PM EST,1100.00,331.00,320.55,325.55,45.28%
AMZN180615C01120000,2018-02-05 2:57PM EST,1120.00,319.35,303.35,308.35,44.32%
AMZN180615C01140000,2018-02-05 2:54PM EST,1140.00,310.00,287.85,292.85,44.03%
AMZN180615C01160000,2018-02-05 11:17AM EST,1160.00,318.82,272.25,277.25,43.54%
AMZN180615C01180000,2018-02-05 3:56PM EST,1180.00,259.26,256.25,261.25,42.75%
AMZN180615C01200000,2018-02-05 3:58PM EST,1200.00,252.90,241.30,246.30,42.27%
AMZN180615C01220000,2018-02-05 10:59AM EST,1220.00,271.45,226.80,231.80,41.81%
AMZN180615C01240000,2018-02-05 3:52PM EST,1240.00,215.27,212.70,217.70,41.37%
AMZN180615C01260000,2018-02-05 3:55PM EST,1260.00,203.00,199.15,204.15,40.97%
AMZN180615C01280000,2018-02-05 3:47PM EST,1280.00,192.00,185.90,190.90,40.53%
AMZN180615C01300000,2018-02-05 3:06PM EST,1300.00,184.02,172.70,177.70,39.97%
AMZN180615C01320000,2018-02-05 1:26PM EST,1320.00,187.20,161.85,166.35,39.87%
AMZN180615C01340000,2018-02-05 3:41PM EST,1340.00,157.65,151.05,156.05,39.94%
AMZN180615C01350000,2018-02-05 12:44PM EST,1350.00,174.95,143.95,148.95,39.31%
AMZN180615C01360000,2018-02-05 3:58PM EST,1360.00,145.00,138.55,143.55,39.18%
AMZN180615C01370000,2018-02-05 12:57PM EST,1370.00,163.25,133.45,138.45,39.10%
AMZN180615C01380000,2018-02-05 3:55PM EST,1380.00,133.62,129.00,134.00,39.18%
AMZN180615C01390000,2018-02-05 10:02PM EST,1390.00,131.76,125.00,130.00,39.37%
AMZN180615C01400000,2018-02-05 3:59PM EST,1400.00,123.00,120.05,125.05,39.22%
AMZN180615C01410000,2018-02-05 3:04PM EST,1410.00,125.33,115.65,119.95,38.99%
AMZN180615C01420000,2018-02-05 3:49PM EST,1420.00,113.40,109.65,114.65,38.67%
AMZN180615C01430000,2018-02-05 3:59PM EST,1430.00,109.00,104.90,109.90,38.48%
AMZN180615C01440000,2018-02-05 3:50PM EST,1440.00,105.21,101.05,106.05,38.53%
AMZN180615C01450000,2018-02-05 3:57PM EST,1450.00,105.14,97.20,101.85,38.43%
AMZN180615C01460000,2018-02-05 2:57PM EST,1460.00,101.00,95.00,99.50,38.86%
AMZN180615C01470000,2018-02-05 3:47PM EST,1470.00,92.10,88.75,93.75,38.23%
AMZN180615C01480000,2018-02-05 3:47PM EST,1480.00,89.10,85.20,90.20,38.22%
AMZN180615C01490000,2018-02-05 11:05AM EST,1490.00,101.89,81.80,86.80,38.23%
AMZN180615C01500000,2018-02-05 3:58PM EST,1500.00,83.00,79.05,84.00,38.39%
AMZN180615C01510000,2018-02-05 2:16PM EST,1510.00,91.50,74.15,79.15,37.89%
AMZN180615C01520000,2018-02-05 1:41PM EST,1520.00,86.50,71.95,76.45,38.02%
AMZN180615C01530000,2018-02-05 2:19PM EST,1530.00,83.10,68.55,73.05,37.89%
AMZN180615C01540000,2018-02-05 2:33PM EST,1540.00,80.05,65.05,70.05,37.86%
AMZN180615C01550000,2018-02-05 2:59PM EST,1550.00,72.14,62.10,67.10,37.82%
AMZN180615C01560000,2018-02-05 12:20PM EST,1560.00,70.00,59.55,64.35,37.80%
AMZN180615C01580000,2018-02-05 2:45PM EST,1580.00,67.69,53.90,58.90,37.70%
AMZN180615C01600000,2018-02-05 3:59PM EST,1600.00,52.50,49.80,54.80,37.93%
AMZN180615C01620000,2018-02-05 9:52AM EST,1620.00,43.95,44.75,49.60,37.67%
AMZN180615C01640000,2018-02-05 3:40PM EST,1640.00,43.70,40.45,45.25,37.59%
AMZN180615C01650000,2018-02-05 1:30PM EST,1650.00,47.00,38.30,43.30,37.58%
AMZN180615C01660000,2018-02-05 1:30PM EST,1660.00,44.85,36.85,41.85,37.74%
AMZN180615C01680000,2018-02-05 1:40PM EST,1680.00,41.75,33.30,38.30,37.74%
AMZN180615C01700000,2018-02-05 3:50PM EST,1700.00,32.50,30.00,35.00,37.72%
AMZN180615C01720000,2018-02-05 2:50PM EST,1720.00,33.09,27.20,32.20,37.82%
AMZN180615C01740000,2018-02-05 3:40PM EST,1740.00,27.05,24.40,29.40,37.81%
AMZN180615C01760000,2018-02-05 2:02PM EST,1760.00,28.74,22.20,27.20,37.99%
AMZN180615C01780000,2018-02-05 12:45PM EST,1780.00,26.35,19.40,24.40,37.78%
AMZN180615C01800000,2018-02-05 3:57PM EST,1800.00,19.50,17.60,22.60,37.97%
AMZN180615C01820000,2018-02-05 12:57PM EST,1820.00,21.85,15.80,20.80,38.09%
AMZN180615C01840000,2018-02-05 12:57PM EST,1840.00,19.85,14.55,19.50,38.40%
AMZN180615C01850000,2018-02-05 3:06PM EST,1850.00,17.45,13.85,18.85,38.54%
AMZN180615C01860000,2018-02-05 9:54AM EST,1860.00,13.20,13.10,18.05,38.57%
AMZN180615C01880000,2018-02-05 1:50PM EST,1880.00,15.55,11.20,16.05,38.32%
AMZN180615C01900000,2018-02-05 1:45PM EST,1900.00,14.30,10.60,15.60,38.97%
AMZN180615C01920000,2018-02-05 1:49PM EST,1920.00,12.95,9.25,14.05,38.86%
AMZN180615C01940000,2018-02-05 11:24AM EST,1940.00,11.35,8.55,13.55,39.40%
AMZN180615C01950000,2018-02-05 1:44PM EST,1950.00,11.30,8.15,13.15,39.55%
