contract_name,last_trade_date,strike_price,last_price,bid_price,ask_price,implied_volatility
AMZN180615C00420000,2018-01-11 1:18PM EST,420,851.35,887.2,891.3,0.00%
AMZN180615C00430000,2018-01-11 1:18PM EST,430,841.45,877.25,881.4,0.00%
AMZN180615C00440000,2018-02-05 10:10AM EST,440,1003.9,953.3,958.3,103.85%
AMZN180615C00450000,2018-02-02 9:54AM EST,450,1007.6,983.85,988.85,166.46%
AMZN180615C00460000,2018-01-10 10:35AM EST,460,787.85,847.55,851.7,0.00%
AMZN180615C00470000,2018-02-02 9:42AM EST,470,1010.85,964,969,160.79%
AMZN180615C00480000,2018-02-05 10:12AM EST,480,965.9,913.75,918.75,97.80%
AMZN180615C00490000,2017-12-01 11:45PM EST,490,686.45,676,681,0.00%
AMZN180615C00500000,2018-01-17 12:07PM EST,500,798.85,797.5,802,0.00%
AMZN180615C00520000,2018-02-02 1:04PM EST,520,944.45,914.5,919.5,147.89%
AMZN180615C00540000,2018-02-02 9:46AM EST,540,932.25,894.7,899.7,143.12%
AMZN180615C00560000,2017-12-04 4:26PM EST,560,585.1,579.55,584.4,0.00%
AMZN180615C00580000,2017-12-04 9:34AM EST,580,592.45,560,563.9,0.00%
AMZN180615C00600000,2018-02-02 3:58PM EST,600,838.05,835.65,840.65,130.22%
AMZN180615C00620000,2018-01-18 3:37PM EST,620,679.37,678.5,683.3,0.00%
AMZN180615C00640000,2017-12-04 10:57AM EST,640,499.95,501.7,506.6,0.00%
AMZN180615C00650000,2017-10-27 10:39AM EST,650,449.25,458.65,463.35,0.00%
AMZN180615C00660000,2018-02-02 1:04PM EST,660,805.9,776,781,118.13%
AMZN180615C00670000,2018-01-08 9:32AM EST,670,573,639.95,644.05,0.00%
AMZN180615C00685000,2017-12-04 4:26PM EST,685,458.45,457.9,462.05,0.00%
